tag_code,tag_name,category,part,depth,weight,is_active
G-063,Grammar Concept 63,GRAMMAR,RC,2,1.1,True
G-064,Grammar Concept 64,GRAMMAR,RC,2,1.1,True
G-065,Grammar Concept 65,GRAMMAR,RC,2,1.1,True
G-066,Grammar Concept 66,GRAMMAR,RC,2,1.1,True
G-067,Grammar Concept 67,GRAMMAR,RC,2,1.1,True
G-068,Grammar Concept 68,GRAMMAR,RC,2,1.1,True
G-069,Grammar Concept 69,GRAMMAR,RC,2,1.1,True
G-070,Grammar Concept 70,GRAMMAR,RC,2,1.1,True
G-071,Grammar Concept 71,GRAMMAR,RC,2,1.1,True
G-072,Grammar Concept 72,GRAMMAR,RC,2,1.1,True
G-073,Grammar Concept 73,GRAMMAR,RC,2,1.1,True
G-074,Grammar Concept 74,GRAMMAR,RC,2,1.1,True
G-075,Grammar Concept 75,GRAMMAR,RC,2,1.1,True
G-076,Grammar Concept 76,GRAMMAR,RC,2,1.1,True
G-077,Grammar Concept 77,GRAMMAR,RC,2,1.1,True
G-078,Grammar Concept 78,GRAMMAR,RC,2,1.1,True
G-079,Grammar Concept 79,GRAMMAR,RC,2,1.1,True
G-080,Grammar Concept 80,GRAMMAR,RC,2,1.1,True
G-081,Grammar Concept 81,GRAMMAR,RC,2,1.1,True
G-082,Grammar Concept 82,GRAMMAR,RC,2,1.1,True
G-083,Grammar Concept 83,GRAMMAR,RC,2,1.1,True
G-084,Grammar Concept 84,GRAMMAR,RC,2,1.1,True
G-085,Grammar Concept 85,GRAMMAR,RC,2,1.1,True
G-086,Grammar Concept 86,GRAMMAR,RC,2,1.1,True
G-087,Grammar Concept 87,GRAMMAR,RC,2,1.1,True
G-088,Grammar Concept 88,GRAMMAR,RC,2,1.1,True
G-089,Grammar Concept 89,GRAMMAR,RC,2,1.1,True
G-090,Grammar Concept 90,GRAMMAR,RC,2,1.1,True
G-091,Grammar Concept 91,GRAMMAR,RC,2,1.1,True
G-092,Grammar Concept 92,GRAMMAR,RC,2,1.1,True
G-093,Grammar Concept 93,GRAMMAR,RC,2,1.1,True
G-094,Grammar Concept 94,GRAMMAR,RC,2,1.1,True
G-095,Grammar Concept 95,GRAMMAR,RC,2,1.1,True
G-096,Grammar Concept 96,GRAMMAR,RC,2,1.1,True
G-097,Grammar Concept 97,GRAMMAR,RC,2,1.1,True
G-098,Grammar Concept 98,GRAMMAR,RC,2,1.1,True
G-099,Grammar Concept 99,GRAMMAR,RC,2,1.1,True
G-100,Grammar Concept 100,GRAMMAR,RC,2,1.1,True
G-101,Grammar Concept 101,GRAMMAR,RC,2,1.1,True
G-102,Grammar Concept 102,GRAMMAR,RC,2,1.1,True
G-103,Grammar Concept 103,GRAMMAR,RC,2,1.1,True
G-104,Grammar Concept 104,GRAMMAR,RC,2,1.1,True
G-105,Grammar Concept 105,GRAMMAR,RC,2,1.1,True
G-106,Grammar Concept 106,GRAMMAR,RC,2,1.1,True
G-107,Grammar Concept 107,GRAMMAR,RC,2,1.1,True
G-108,Grammar Concept 108,GRAMMAR,RC,2,1.1,True
G-109,Grammar Concept 109,GRAMMAR,RC,2,1.1,True
G-110,Grammar Concept 110,GRAMMAR,RC,2,1.1,True
G-111,Grammar Concept 111,GRAMMAR,RC,2,1.1,True
G-112,Grammar Concept 112,GRAMMAR,RC,2,1.1,True
G-113,Grammar Concept 113,GRAMMAR,RC,2,1.1,True
G-114,Grammar Concept 114,GRAMMAR,RC,2,1.1,True
G-115,Grammar Concept 115,GRAMMAR,RC,2,1.1,True
G-116,Grammar Concept 116,GRAMMAR,RC,2,1.1,True
G-117,Grammar Concept 117,GRAMMAR,RC,2,1.1,True
G-118,Grammar Concept 118,GRAMMAR,RC,2,1.1,True
G-119,Grammar Concept 119,GRAMMAR,RC,2,1.1,True
G-120,Grammar Concept 120,GRAMMAR,RC,2,1.1,True
G-121,Grammar Concept 121,GRAMMAR,RC,2,1.1,True
G-122,Grammar Concept 122,GRAMMAR,RC,2,1.1,True
G-123,Grammar Concept 123,GRAMMAR,RC,2,1.1,True
G-124,Grammar Concept 124,GRAMMAR,RC,2,1.1,True
G-125,Grammar Concept 125,GRAMMAR,RC,2,1.1,True
G-126,Grammar Concept 126,GRAMMAR,RC,2,1.1,True
G-127,Grammar Concept 127,GRAMMAR,RC,2,1.1,True
G-128,Grammar Concept 128,GRAMMAR,RC,2,1.1,True
G-129,Grammar Concept 129,GRAMMAR,RC,2,1.1,True
G-130,Grammar Concept 130,GRAMMAR,RC,2,1.1,True
G-131,Grammar Concept 131,GRAMMAR,RC,2,1.1,True
G-132,Grammar Concept 132,GRAMMAR,RC,2,1.1,True
G-133,Grammar Concept 133,GRAMMAR,RC,2,1.1,True
G-134,Grammar Concept 134,GRAMMAR,RC,2,1.1,True
G-135,Grammar Concept 135,GRAMMAR,RC,2,1.1,True
G-136,Grammar Concept 136,GRAMMAR,RC,2,1.1,True
G-137,Grammar Concept 137,GRAMMAR,RC,2,1.1,True
G-138,Grammar Concept 138,GRAMMAR,RC,2,1.1,True
G-139,Grammar Concept 139,GRAMMAR,RC,2,1.1,True
G-140,Grammar Concept 140,GRAMMAR,RC,2,1.1,True
G-141,Grammar Concept 141,GRAMMAR,RC,2,1.1,True
G-142,Grammar Concept 142,GRAMMAR,RC,2,1.1,True
G-143,Grammar Concept 143,GRAMMAR,RC,2,1.1,True
G-144,Grammar Concept 144,GRAMMAR,RC,2,1.1,True
G-145,Grammar Concept 145,GRAMMAR,RC,2,1.1,True
G-146,Grammar Concept 146,GRAMMAR,RC,2,1.1,True
G-147,Grammar Concept 147,GRAMMAR,RC,2,1.1,True
G-148,Grammar Concept 148,GRAMMAR,RC,2,1.1,True
G-149,Grammar Concept 149,GRAMMAR,RC,2,1.1,True
G-150,Grammar Concept 150,GRAMMAR,RC,2,1.1,True
G-151,Grammar Concept 151,GRAMMAR,RC,2,1.1,True
G-152,Grammar Concept 152,GRAMMAR,RC,2,1.1,True
G-153,Grammar Concept 153,GRAMMAR,RC,2,1.1,True
G-154,Grammar Concept 154,GRAMMAR,RC,2,1.1,True
G-155,Grammar Concept 155,GRAMMAR,RC,2,1.1,True
G-156,Grammar Concept 156,GRAMMAR,RC,2,1.1,True
G-157,Grammar Concept 157,GRAMMAR,RC,2,1.1,True
G-158,Grammar Concept 158,GRAMMAR,RC,2,1.1,True
G-159,Grammar Concept 159,GRAMMAR,RC,2,1.1,True
G-160,Grammar Concept 160,GRAMMAR,RC,2,1.1,True
G-161,Grammar Concept 161,GRAMMAR,RC,2,1.1,True
G-162,Grammar Concept 162,GRAMMAR,RC,2,1.1,True
G-163,Grammar Concept 163,GRAMMAR,RC,2,1.1,True
G-164,Grammar Concept 164,GRAMMAR,RC,2,1.1,True
G-165,Grammar Concept 165,GRAMMAR,RC,2,1.1,True
G-166,Grammar Concept 166,GRAMMAR,RC,2,1.1,True
G-167,Grammar Concept 167,GRAMMAR,RC,2,1.1,True
G-168,Grammar Concept 168,GRAMMAR,RC,2,1.1,True
G-169,Grammar Concept 169,GRAMMAR,RC,2,1.1,True
G-170,Grammar Concept 170,GRAMMAR,RC,2,1.1,True
G-171,Grammar Concept 171,GRAMMAR,RC,2,1.1,True
G-172,Grammar Concept 172,GRAMMAR,RC,2,1.1,True
G-173,Grammar Concept 173,GRAMMAR,RC,2,1.1,True
G-174,Grammar Concept 174,GRAMMAR,RC,2,1.1,True
G-175,Grammar Concept 175,GRAMMAR,RC,2,1.1,True
G-176,Grammar Concept 176,GRAMMAR,RC,2,1.1,True
G-177,Grammar Concept 177,GRAMMAR,RC,2,1.1,True
G-178,Grammar Concept 178,GRAMMAR,RC,2,1.1,True
G-179,Grammar Concept 179,GRAMMAR,RC,2,1.1,True
G-180,Grammar Concept 180,GRAMMAR,RC,2,1.1,True
G-181,Grammar Concept 181,GRAMMAR,RC,2,1.1,True
G-182,Grammar Concept 182,GRAMMAR,RC,2,1.1,True
G-183,Grammar Concept 183,GRAMMAR,RC,2,1.1,True
G-184,Grammar Concept 184,GRAMMAR,RC,2,1.1,True
G-185,Grammar Concept 185,GRAMMAR,RC,2,1.1,True
G-186,Grammar Concept 186,GRAMMAR,RC,2,1.1,True
G-187,Grammar Concept 187,GRAMMAR,RC,2,1.1,True
G-188,Grammar Concept 188,GRAMMAR,RC,2,1.1,True
G-189,Grammar Concept 189,GRAMMAR,RC,2,1.1,True
G-190,Grammar Concept 190,GRAMMAR,RC,2,1.1,True
G-191,Grammar Concept 191,GRAMMAR,RC,2,1.1,True
G-192,Grammar Concept 192,GRAMMAR,RC,2,1.1,True
G-193,Grammar Concept 193,GRAMMAR,RC,2,1.1,True
G-194,Grammar Concept 194,GRAMMAR,RC,2,1.1,True
G-195,Grammar Concept 195,GRAMMAR,RC,2,1.1,True
G-196,Grammar Concept 196,GRAMMAR,RC,2,1.1,True
G-197,Grammar Concept 197,GRAMMAR,RC,2,1.1,True
G-198,Grammar Concept 198,GRAMMAR,RC,2,1.1,True
G-199,Grammar Concept 199,GRAMMAR,RC,2,1.1,True
G-200,Grammar Concept 200,GRAMMAR,RC,2,1.1,True
G-201,Grammar Concept 201,GRAMMAR,RC,2,1.1,True
G-202,Grammar Concept 202,GRAMMAR,RC,2,1.1,True
G-203,Grammar Concept 203,GRAMMAR,RC,2,1.1,True
G-204,Grammar Concept 204,GRAMMAR,RC,2,1.1,True
G-205,Grammar Concept 205,GRAMMAR,RC,2,1.1,True
G-206,Grammar Concept 206,GRAMMAR,RC,2,1.1,True
G-207,Grammar Concept 207,GRAMMAR,RC,2,1.1,True
G-208,Grammar Concept 208,GRAMMAR,RC,2,1.1,True
G-209,Grammar Concept 209,GRAMMAR,RC,2,1.1,True
G-210,Grammar Concept 210,GRAMMAR,RC,2,1.1,True
G-211,Grammar Concept 211,GRAMMAR,RC,2,1.1,True
G-212,Grammar Concept 212,GRAMMAR,RC,2,1.1,True
G-213,Grammar Concept 213,GRAMMAR,RC,2,1.1,True
G-214,Grammar Concept 214,GRAMMAR,RC,2,1.1,True
G-215,Grammar Concept 215,GRAMMAR,RC,2,1.1,True
G-216,Grammar Concept 216,GRAMMAR,RC,2,1.1,True
G-217,Grammar Concept 217,GRAMMAR,RC,2,1.1,True
G-218,Grammar Concept 218,GRAMMAR,RC,2,1.1,True
G-219,Grammar Concept 219,GRAMMAR,RC,2,1.1,True
G-220,Grammar Concept 220,GRAMMAR,RC,2,1.1,True
V-001,Vocabulary Concept 1,VOCAB,RC,1,1.0,True
V-002,Vocabulary Concept 2,VOCAB,RC,1,1.0,True
V-003,Vocabulary Concept 3,VOCAB,RC,1,1.0,True
V-004,Vocabulary Concept 4,VOCAB,RC,1,1.0,True
V-005,Vocabulary Concept 5,VOCAB,RC,1,1.0,True
V-006,Vocabulary Concept 6,VOCAB,RC,1,1.0,True
V-007,Vocabulary Concept 7,VOCAB,RC,1,1.0,True
V-008,Vocabulary Concept 8,VOCAB,RC,1,1.0,True
V-009,Vocabulary Concept 9,VOCAB,RC,1,1.0,True
V-010,Vocabulary Concept 10,VOCAB,RC,1,1.0,True
V-011,Vocabulary Concept 11,VOCAB,RC,1,1.0,True
V-012,Vocabulary Concept 12,VOCAB,RC,1,1.0,True
V-013,Vocabulary Concept 13,VOCAB,RC,1,1.0,True
V-014,Vocabulary Concept 14,VOCAB,RC,1,1.0,True
V-015,Vocabulary Concept 15,VOCAB,RC,1,1.0,True
V-016,Vocabulary Concept 16,VOCAB,RC,1,1.0,True
V-017,Vocabulary Concept 17,VOCAB,RC,1,1.0,True
V-018,Vocabulary Concept 18,VOCAB,RC,1,1.0,True
V-019,Vocabulary Concept 19,VOCAB,RC,1,1.0,True
V-020,Vocabulary Concept 20,VOCAB,RC,1,1.0,True
V-021,Vocabulary Concept 21,VOCAB,RC,1,1.0,True
V-022,Vocabulary Concept 22,VOCAB,RC,1,1.0,True
V-023,Vocabulary Concept 23,VOCAB,RC,1,1.0,True
V-024,Vocabulary Concept 24,VOCAB,RC,1,1.0,True
V-025,Vocabulary Concept 25,VOCAB,RC,1,1.0,True
V-026,Vocabulary Concept 26,VOCAB,RC,1,1.0,True
V-027,Vocabulary Concept 27,VOCAB,RC,1,1.0,True
V-028,Vocabulary Concept 28,VOCAB,RC,1,1.0,True
V-029,Vocabulary Concept 29,VOCAB,RC,1,1.0,True
V-030,Vocabulary Concept 30,VOCAB,RC,1,1.0,True
V-031,Vocabulary Concept 31,VOCAB,RC,1,1.0,True
V-032,Vocabulary Concept 32,VOCAB,RC,1,1.0,True
V-033,Vocabulary Concept 33,VOCAB,RC,1,1.0,True
V-034,Vocabulary Concept 34,VOCAB,RC,1,1.0,True
V-035,Vocabulary Concept 35,VOCAB,RC,1,1.0,True
V-036,Vocabulary Concept 36,VOCAB,RC,1,1.0,True
V-037,Vocabulary Concept 37,VOCAB,RC,1,1.0,True
V-038,Vocabulary Concept 38,VOCAB,RC,1,1.0,True
V-039,Vocabulary Concept 39,VOCAB,RC,1,1.0,True
V-040,Vocabulary Concept 40,VOCAB,RC,1,1.0,True
V-041,Vocabulary Concept 41,VOCAB,RC,1,1.0,True
V-042,Vocabulary Concept 42,VOCAB,RC,1,1.0,True
V-043,Vocabulary Concept 43,VOCAB,RC,1,1.0,True
V-044,Vocabulary Concept 44,VOCAB,RC,1,1.0,True
V-045,Vocabulary Concept 45,VOCAB,RC,1,1.0,True
V-046,Vocabulary Concept 46,VOCAB,RC,1,1.0,True
V-047,Vocabulary Concept 47,VOCAB,RC,1,1.0,True
V-048,Vocabulary Concept 48,VOCAB,RC,1,1.0,True
V-049,Vocabulary Concept 49,VOCAB,RC,1,1.0,True
V-050,Vocabulary Concept 50,VOCAB,RC,1,1.0,True
V-051,Vocabulary Concept 51,VOCAB,RC,1,1.0,True
V-052,Vocabulary Concept 52,VOCAB,RC,1,1.0,True
V-053,Vocabulary Concept 53,VOCAB,RC,1,1.0,True
V-054,Vocabulary Concept 54,VOCAB,RC,1,1.0,True
V-055,Vocabulary Concept 55,VOCAB,RC,1,1.0,True
V-056,Vocabulary Concept 56,VOCAB,RC,1,1.0,True
V-057,Vocabulary Concept 57,VOCAB,RC,1,1.0,True
V-058,Vocabulary Concept 58,VOCAB,RC,1,1.0,True
V-059,Vocabulary Concept 59,VOCAB,RC,1,1.0,True
V-060,Vocabulary Concept 60,VOCAB,RC,1,1.0,True
V-061,Vocabulary Concept 61,VOCAB,RC,1,1.0,True
V-062,Vocabulary Concept 62,VOCAB,RC,1,1.0,True
V-063,Vocabulary Concept 63,VOCAB,RC,1,1.0,True
V-064,Vocabulary Concept 64,VOCAB,RC,1,1.0,True
V-065,Vocabulary Concept 65,VOCAB,RC,1,1.0,True
V-066,Vocabulary Concept 66,VOCAB,RC,1,1.0,True
V-067,Vocabulary Concept 67,VOCAB,RC,1,1.0,True
V-068,Vocabulary Concept 68,VOCAB,RC,1,1.0,True
V-069,Vocabulary Concept 69,VOCAB,RC,1,1.0,True
V-070,Vocabulary Concept 70,VOCAB,RC,1,1.0,True
V-071,Vocabulary Concept 71,VOCAB,RC,1,1.0,True
V-072,Vocabulary Concept 72,VOCAB,RC,1,1.0,True
V-073,Vocabulary Concept 73,VOCAB,RC,1,1.0,True
V-074,Vocabulary Concept 74,VOCAB,RC,1,1.0,True
V-075,Vocabulary Concept 75,VOCAB,RC,1,1.0,True
V-076,Vocabulary Concept 76,VOCAB,RC,1,1.0,True
V-077,Vocabulary Concept 77,VOCAB,RC,1,1.0,True
V-078,Vocabulary Concept 78,VOCAB,RC,1,1.0,True
V-079,Vocabulary Concept 79,VOCAB,RC,1,1.0,True
V-080,Vocabulary Concept 80,VOCAB,RC,1,1.0,True
V-081,Vocabulary Concept 81,VOCAB,RC,1,1.0,True
V-082,Vocabulary Concept 82,VOCAB,RC,1,1.0,True
V-083,Vocabulary Concept 83,VOCAB,RC,1,1.0,True
V-084,Vocabulary Concept 84,VOCAB,RC,1,1.0,True
V-085,Vocabulary Concept 85,VOCAB,RC,1,1.0,True
V-086,Vocabulary Concept 86,VOCAB,RC,1,1.0,True
V-087,Vocabulary Concept 87,VOCAB,RC,1,1.0,True
V-088,Vocabulary Concept 88,VOCAB,RC,1,1.0,True
V-089,Vocabulary Concept 89,VOCAB,RC,1,1.0,True
V-090,Vocabulary Concept 90,VOCAB,RC,1,1.0,True
V-091,Vocabulary Concept 91,VOCAB,RC,1,1.0,True
V-092,Vocabulary Concept 92,VOCAB,RC,1,1.0,True
V-093,Vocabulary Concept 93,VOCAB,RC,1,1.0,True
V-094,Vocabulary Concept 94,VOCAB,RC,1,1.0,True
V-095,Vocabulary Concept 95,VOCAB,RC,1,1.0,True
V-096,Vocabulary Concept 96,VOCAB,RC,1,1.0,True
V-097,Vocabulary Concept 97,VOCAB,RC,1,1.0,True
V-098,Vocabulary Concept 98,VOCAB,RC,1,1.0,True
V-099,Vocabulary Concept 99,VOCAB,RC,1,1.0,True
V-100,Vocabulary Concept 100,VOCAB,RC,1,1.0,True
V-101,Vocabulary Concept 101,VOCAB,RC,1,1.0,True
V-102,Vocabulary Concept 102,VOCAB,RC,1,1.0,True
V-103,Vocabulary Concept 103,VOCAB,RC,1,1.0,True
V-104,Vocabulary Concept 104,VOCAB,RC,1,1.0,True
V-105,Vocabulary Concept 105,VOCAB,RC,1,1.0,True
V-106,Vocabulary Concept 106,VOCAB,RC,1,1.0,True
V-107,Vocabulary Concept 107,VOCAB,RC,1,1.0,True
V-108,Vocabulary Concept 108,VOCAB,RC,1,1.0,True
V-109,Vocabulary Concept 109,VOCAB,RC,1,1.0,True
V-110,Vocabulary Concept 110,VOCAB,RC,1,1.0,True
V-111,Vocabulary Concept 111,VOCAB,RC,1,1.0,True
V-112,Vocabulary Concept 112,VOCAB,RC,1,1.0,True
V-113,Vocabulary Concept 113,VOCAB,RC,1,1.0,True
V-114,Vocabulary Concept 114,VOCAB,RC,1,1.0,True
V-115,Vocabulary Concept 115,VOCAB,RC,1,1.0,True
V-116,Vocabulary Concept 116,VOCAB,RC,1,1.0,True
V-117,Vocabulary Concept 117,VOCAB,RC,1,1.0,True
V-118,Vocabulary Concept 118,VOCAB,RC,1,1.0,True
V-119,Vocabulary Concept 119,VOCAB,RC,1,1.0,True
V-120,Vocabulary Concept 120,VOCAB,RC,1,1.0,True
V-121,Vocabulary Concept 121,VOCAB,RC,1,1.0,True
V-122,Vocabulary Concept 122,VOCAB,RC,1,1.0,True
V-123,Vocabulary Concept 123,VOCAB,RC,1,1.0,True
V-124,Vocabulary Concept 124,VOCAB,RC,1,1.0,True
V-125,Vocabulary Concept 125,VOCAB,RC,1,1.0,True
V-126,Vocabulary Concept 126,VOCAB,RC,1,1.0,True
V-127,Vocabulary Concept 127,VOCAB,RC,1,1.0,True
V-128,Vocabulary Concept 128,VOCAB,RC,1,1.0,True
V-129,Vocabulary Concept 129,VOCAB,RC,1,1.0,True
V-130,Vocabulary Concept 130,VOCAB,RC,1,1.0,True
V-131,Vocabulary Concept 131,VOCAB,RC,1,1.0,True
V-132,Vocabulary Concept 132,VOCAB,RC,1,1.0,True
V-133,Vocabulary Concept 133,VOCAB,RC,1,1.0,True
V-134,Vocabulary Concept 134,VOCAB,RC,1,1.0,True
V-135,Vocabulary Concept 135,VOCAB,RC,1,1.0,True
V-136,Vocabulary Concept 136,VOCAB,RC,1,1.0,True
V-137,Vocabulary Concept 137,VOCAB,RC,1,1.0,True
V-138,Vocabulary Concept 138,VOCAB,RC,1,1.0,True
V-139,Vocabulary Concept 139,VOCAB,RC,1,1.0,True
V-140,Vocabulary Concept 140,VOCAB,RC,1,1.0,True
V-141,Vocabulary Concept 141,VOCAB,RC,1,1.0,True
V-142,Vocabulary Concept 142,VOCAB,RC,1,1.0,True
V-143,Vocabulary Concept 143,VOCAB,RC,1,1.0,True
V-144,Vocabulary Concept 144,VOCAB,RC,1,1.0,True
V-145,Vocabulary Concept 145,VOCAB,RC,1,1.0,True
V-146,Vocabulary Concept 146,VOCAB,RC,1,1.0,True
V-147,Vocabulary Concept 147,VOCAB,RC,1,1.0,True
V-148,Vocabulary Concept 148,VOCAB,RC,1,1.0,True
V-149,Vocabulary Concept 149,VOCAB,RC,1,1.0,True
V-150,Vocabulary Concept 150,VOCAB,RC,1,1.0,True
P5-001,Part5 Pattern 1,P5,P5,2,1.2,True
P5-002,Part5 Pattern 2,P5,P5,2,1.2,True
P5-003,Part5 Pattern 3,P5,P5,2,1.2,True
P5-004,Part5 Pattern 4,P5,P5,2,1.2,True
P5-005,Part5 Pattern 5,P5,P5,2,1.2,True
P5-006,Part5 Pattern 6,P5,P5,2,1.2,True
P5-007,Part5 Pattern 7,P5,P5,2,1.2,True
P5-008,Part5 Pattern 8,P5,P5,2,1.2,True
P5-009,Part5 Pattern 9,P5,P5,2,1.2,True
P5-010,Part5 Pattern 10,P5,P5,2,1.2,True
P5-011,Part5 Pattern 11,P5,P5,2,1.2,True
P5-012,Part5 Pattern 12,P5,P5,2,1.2,True
P5-013,Part5 Pattern 13,P5,P5,2,1.2,True
P5-014,Part5 Pattern 14,P5,P5,2,1.2,True
P5-015,Part5 Pattern 15,P5,P5,2,1.2,True
P5-016,Part5 Pattern 16,P5,P5,2,1.2,True
P5-017,Part5 Pattern 17,P5,P5,2,1.2,True
P5-018,Part5 Pattern 18,P5,P5,2,1.2,True
P5-019,Part5 Pattern 19,P5,P5,2,1.2,True
P5-020,Part5 Pattern 20,P5,P5,2,1.2,True
P5-021,Part5 Pattern 21,P5,P5,2,1.2,True
P5-022,Part5 Pattern 22,P5,P5,2,1.2,True
P5-023,Part5 Pattern 23,P5,P5,2,1.2,True
P5-024,Part5 Pattern 24,P5,P5,2,1.2,True
P5-025,Part5 Pattern 25,P5,P5,2,1.2,True
P5-026,Part5 Pattern 26,P5,P5,2,1.2,True
P5-027,Part5 Pattern 27,P5,P5,2,1.2,True
P5-028,Part5 Pattern 28,P5,P5,2,1.2,True
P5-029,Part5 Pattern 29,P5,P5,2,1.2,True
P5-030,Part5 Pattern 30,P5,P5,2,1.2,True
P5-031,Part5 Pattern 31,P5,P5,2,1.2,True
P5-032,Part5 Pattern 32,P5,P5,2,1.2,True
P5-033,Part5 Pattern 33,P5,P5,2,1.2,True
P5-034,Part5 Pattern 34,P5,P5,2,1.2,True
P5-035,Part5 Pattern 35,P5,P5,2,1.2,True
P5-036,Part5 Pattern 36,P5,P5,2,1.2,True
P5-037,Part5 Pattern 37,P5,P5,2,1.2,True
P5-038,Part5 Pattern 38,P5,P5,2,1.2,True
P5-039,Part5 Pattern 39,P5,P5,2,1.2,True
P5-040,Part5 Pattern 40,P5,P5,2,1.2,True
P5-041,Part5 Pattern 41,P5,P5,2,1.2,True
P5-042,Part5 Pattern 42,P5,P5,2,1.2,True
P5-043,Part5 Pattern 43,P5,P5,2,1.2,True
P5-044,Part5 Pattern 44,P5,P5,2,1.2,True
P5-045,Part5 Pattern 45,P5,P5,2,1.2,True
P5-046,Part5 Pattern 46,P5,P5,2,1.2,True
P5-047,Part5 Pattern 47,P5,P5,2,1.2,True
P5-048,Part5 Pattern 48,P5,P5,2,1.2,True
P5-049,Part5 Pattern 49,P5,P5,2,1.2,True
P5-050,Part5 Pattern 50,P5,P5,2,1.2,True
P5-051,Part5 Pattern 51,P5,P5,2,1.2,True
P5-052,Part5 Pattern 52,P5,P5,2,1.2,True
P5-053,Part5 Pattern 53,P5,P5,2,1.2,True
P5-054,Part5 Pattern 54,P5,P5,2,1.2,True
P5-055,Part5 Pattern 55,P5,P5,2,1.2,True
P5-056,Part5 Pattern 56,P5,P5,2,1.2,True
P5-057,Part5 Pattern 57,P5,P5,2,1.2,True
P5-058,Part5 Pattern 58,P5,P5,2,1.2,True
